,0,1
254,CFHTLS-VAR-J221407.21-174058.0,16982
255,CFHTLS-VAR-J022558.64-040108.9,17007
256,CFHTLS-VAR-J095840.72+022206.8,17009
257,CFHTLS-VAR-J141738.57+521808.3,17057
258,CFHTLS-VAR-J221409.12-181250.0,17148
259,CFHTLS-VAR-J142236.51+521933.0,17179
260,CFHTLS-VAR-J221431.43-175802.8,17376
261,CFHTLS-VAR-J100051.73+023005.6,17395
262,CFHTLS-VAR-J022611.61-035936.4,17411
263,CFHTLS-VAR-J095857.05+020727.6,17590
264,CFHTLS-VAR-J100201.77+022931.4,17624
265,CFHTLS-VAR-J221537.83-181112.8,17701
266,CFHTLS-VAR-J221358.96-174310.1,17714
267,CFHTLS-VAR-J221634.31-180140.1,17759
268,CFHTLS-VAR-J100104.86+023942.5,17775
269,CFHTLS-VAR-J022649.13-045047.7,17800
270,CFHTLS-VAR-J022451.91-043221.4,17940
271,CFHTLS-VAR-J221520.60-171620.3,17947
272,CFHTLS-VAR-J022636.05-044839.0,18015
273,CFHTLS-VAR-J221327.22-175955.6,18239
274,CFHTLS-VAR-J221723.11-171915.9,18297
275,CFHTLS-VAR-J095908.07+022508.5,18356
276,CFHTLS-VAR-J100010.53+022254.0,18444
277,CFHTLS-VAR-J100149.58+021959.1,18460
278,CFHTLS-VAR-J022709.36-044241.6,18569
279,CFHTLS-VAR-J100129.35+014545.3,18588
280,CFHTLS-VAR-J142156.75+530002.0,18815
281,CFHTLS-VAR-J221348.15-172407.5,18952
282,CFHTLS-VAR-J022437.55-040814.6,18979
283,CFHTLS-VAR-J221644.52-174220.8,19036
284,CFHTLS-VAR-J142125.39+523321.0,19107
285,CFHTLS-VAR-J221634.70-172223.5,19207
286,CFHTLS-VAR-J221708.70-171944.3,19210
287,CFHTLS-VAR-J221602.15-174726.4,19348
288,CFHTLS-VAR-J022604.12-042928.0,19485
289,CFHTLS-VAR-J142213.82+521226.0,19596
290,CFHTLS-VAR-J022633.71-044635.3,19640
291,CFHTLS-VAR-J221407.86-181202.4,19740
292,CFHTLS-VAR-J095901.56+015844.3,19771
293,CFHTLS-VAR-J141642.35+531111.8,19850
294,CFHTLS-VAR-J221558.91-171240.2,19875
295,CFHTLS-VAR-J100204.27+015453.9,20102
296,CFHTLS-VAR-J022456.68-041334.0,20235
297,CFHTLS-VAR-J141755.52+521527.6,20267
298,CFHTLS-VAR-J142200.77+525724.1,20333
299,CFHTLS-VAR-J141931.39+522001.0,20343
300,CFHTLS-VAR-J141619.62+522458.8,20388
301,CFHTLS-VAR-J141642.50+521341.7,20506
302,CFHTLS-VAR-J221329.16-172604.0,20630
303,CFHTLS-VAR-J100213.48+020959.6,20665
304,CFHTLS-VAR-J022645.35-041101.8,20715
305,CFHTLS-VAR-J142051.43+525705.2,20784
306,CFHTLS-VAR-J022635.05-043706.5,20845
307,CFHTLS-VAR-J100153.72+020028.6,20895
308,CFHTLS-VAR-J100031.06+024155.3,20978
309,CFHTLS-VAR-J142114.63+525234.8,21051
310,CFHTLS-VAR-J221402.50-180030.2,21148
311,CFHTLS-VAR-J221713.56-172712.8,21152
312,CFHTLS-VAR-J142237.49+525335.8,21157
313,CFHTLS-VAR-J221326.05-174033.0,21249
314,CFHTLS-VAR-J100140.93+021204.4,21251
315,CFHTLS-VAR-J221711.69-180756.6,21262
316,CFHTLS-VAR-J022402.13-044814.1,21335
317,CFHTLS-VAR-J221656.12-181357.9,21412
318,CFHTLS-VAR-J221548.14-172118.3,21413
319,CFHTLS-VAR-J141701.06+522342.4,21423
320,CFHTLS-VAR-J142102.24+531103.9,21506
321,CFHTLS-VAR-J142020.83+521202.7,21552
322,CFHTLS-VAR-J221653.71-171753.8,21707
323,CFHTLS-VAR-J095833.54+021348.8,21775
324,CFHTLS-VAR-J221433.68-174928.6,21777
325,CFHTLS-VAR-J022729.85-040539.3,21912
326,CFHTLS-VAR-J142035.01+530616.0,21916
327,CFHTLS-VAR-J221336.96-173824.7,21958
328,CFHTLS-VAR-J141643.31+525448.3,21975
329,CFHTLS-VAR-J142051.39+523513.0,21976
330,CFHTLS-VAR-J221350.61-172108.6,22176
331,CFHTLS-VAR-J221722.02-172450.1,22232
332,CFHTLS-VAR-J221415.86-181102.2,22252
333,CFHTLS-VAR-J221630.69-181109.3,22298
334,CFHTLS-VAR-J141924.14+523616.6,22301
335,CFHTLS-VAR-J141845.04+530711.0,22303
336,CFHTLS-VAR-J141733.65+523037.6,22351
337,CFHTLS-VAR-J221722.84-172503.5,22467
338,CFHTLS-VAR-J221626.61-171334.1,22471
339,CFHTLS-VAR-J141613.93+530040.2,22491
340,CFHTLS-VAR-J142125.56+524429.5,22549
341,CFHTLS-VAR-J141635.11+524351.6,22625
342,CFHTLS-VAR-J221732.50-174900.1,22638
343,CFHTLS-VAR-J095835.85+014504.2,22841
344,CFHTLS-VAR-J100150.77+015407.3,22871
345,CFHTLS-VAR-J221715.28-172018.9,22883
346,CFHTLS-VAR-J221518.07-175244.9,22898
347,CFHTLS-VAR-J100115.17+015634.6,23074
348,CFHTLS-VAR-J022717.75-042244.2,23446
349,CFHTLS-VAR-J221726.42-174342.9,23499
350,CFHTLS-VAR-J142121.09+524938.6,23513
351,CFHTLS-VAR-J022725.79-040510.7,23588
352,CFHTLS-VAR-J141655.02+521045.5,23601
353,CFHTLS-VAR-J221644.89-172127.7,23618
354,CFHTLS-VAR-J100105.19+023540.7,23843
355,CFHTLS-VAR-J221540.66-180500.7,24056
356,CFHTLS-VAR-J142042.02+524233.6,24169
357,CFHTLS-VAR-J221530.19-172052.2,24264
358,CFHTLS-VAR-J221458.81-181138.7,24323
359,CFHTLS-VAR-J221548.34-173421.9,24374
360,CFHTLS-VAR-J022653.20-041159.7,24392
361,CFHTLS-VAR-J221441.03-173140.9,24428
362,CFHTLS-VAR-J221337.90-171415.9,24483
363,CFHTLS-VAR-J221536.05-175253.0,24504
364,CFHTLS-VAR-J022436.61-041920.3,24510
365,CFHTLS-VAR-J221530.77-173220.7,24550
366,CFHTLS-VAR-J142154.25+521815.8,24580
367,CFHTLS-VAR-J221602.26-180329.0,24622
368,CFHTLS-VAR-J142019.23+522947.7,24656
369,CFHTLS-VAR-J221514.37-180037.7,24729
